ym: 1.0, -154.512239006, 170.748123767, 0.8330173545209303, [1220.5, 2044.0], [1710.28571429, 2452.0]
 m: 1.0, 113.693164638, 20.5975731817, -0.416083916080279, [1220.0, 2656.0], [1710.28571429, 2452.0]
ma: 1.0, 23.9735793961, 7.06626846848, 0.17827715355738474, [1710.28571429, 2452.0], [566.0, 2248.0]
at: 1.0, -40.0606291351, -24.6585459797, -0.3896103896103897, [566.0, 2248.0], [1089.6, 2044.0]
a : 1.0, -145.195647376, 83.9012153726, 0.6238532110091743, [566.0, 2248.0], [1220.0, 2656.0]
me: 1.0, 31.4499602364, 0.133890796962, 0.46233043027586523, [1710.28571429, 2452.0], [827.8, 2044.0]
od: 1.0, -69.6128338373, -37.0903798868, -0.2597402597402597, [1613.2, 2044.0], [827.8, 2248.0]
el: 1.0, -159.219515662, 81.2712239203, 0.2597402597402597, [827.8, 2044.0], [1613.2, 2248.0]
so: 1.0, -80.4332807175, -28.0628158005, -0.22263450834879406, [696.9, 2248.0], [1613.2, 2044.0]
ta: 1.0, -73.0462289728, 1.67560248036, -0.3896103896103897, [1089.6, 2044.0], [566.0, 2248.0]
ne: 1.0, 5.81831111444, -0.291290866141, 0.5660601736246205, [1548.57142857, 2452.0], [827.8, 2044.0]
le: 1.0, -36.1128116015, -3.06496238615, 0.2597402597402597, [1613.2, 2248.0], [827.8, 2044.0]
e : 1.0, -341.879349486, 156.565511836, 1.5604283528811829, [827.8, 2044.0], [1220.0, 2656.0]
hu: 1.0, 112.73223543, 90.738916424, -1.5584415584415574, [1220.5, 2248.0], [1351.4, 2044.0]
om: 1.0, -275.811982835, -23.3933123281, 4.202472042192359, [1613.2, 2044.0], [1710.28571429, 2452.0]
en: 1.0, -185.05804184, 153.984535601, 0.5660601736246205, [827.8, 2044.0], [1548.57142857, 2452.0]
na: 1.0, 33.1512739959, 12.7828970345, 0.20761849374848446, [1548.57142857, 2452.0], [566.0, 2248.0]
ok: 1.0, -76.8534905055, -30.1573610266, -1.5584415584415574, [1613.2, 2044.0], [1482.3, 2248.0]
il: 1.0, -168.455698566, 67.3063647391, 1.5584415584415574, [1482.3, 2044.0], [1613.2, 2248.0]
 u: 1.0, 352.174055399, 79.0651125185, -4.657534246575339, [1220.0, 2656.0], [1351.4, 2044.0]
ud: 1.0, -89.7753690797, -23.4600876356, -0.3896103896103895, [1351.4, 2044.0], [827.8, 2248.0]
es: 1.0, -163.148889363, 0.656341825815, -1.5584415584415587, [827.8, 2044.0], [696.9, 2248.0]
st: 1.0, 14.9764672399, 9.03584882008, -0.5194805194805195, [696.9, 2248.0], [1089.6, 2044.0]
ts: 1.0, -101.888499428, -4.03213461675, -0.5194805194805195, [1089.6, 2044.0], [696.9, 2248.0]
an: 1.0, -89.6319183813, 46.3274362431, 0.20761849374848446, [566.0, 2248.0], [1548.57142857, 2452.0]
äv: 1.0, 3.97277709661, 1.99435209132, -0.31391514618459476, [1875.0, 2248.0], [1225.14285714, 2452.0]
ve: 1.0, -28.0167092964, 10.8968013843, 1.0268210253902843, [1225.14285714, 2452.0], [827.8, 2044.0]
i : 1.0, -380.546258804, -24.5434941771, -2.333206252382768, [1482.3, 2044.0], [1220.0, 2656.0]
id: 1.0, -48.6887680228, -16.0840180311, -0.3116883116883117, [1482.3, 2044.0], [827.8, 2248.0]
d<: 1.0, -76.3384374295, 15.1567382309, 0.19823788546255505, [827.8, 2248.0], [1872.0, 2455.0]
<d: 1.0, 91.2490067274, 62.8325155115, 0.19823788546255505, [1872.0, 2455.0], [827.8, 2248.0]
ar: 1.0, -11.285737468, -9.14748922044, -0.5194805194805194, [566.0, 2248.0], [958.7, 2044.0]
rv: 1.0, -224.851787126, 195.825055195, 1.5312851857973444, [958.7, 2044.0], [1225.14285714, 2452.0]
vi: 1.0, 175.445587448, 128.027511592, -1.586578523397738, [1225.14285714, 2452.0], [1482.3, 2044.0]
se: 1.0, 118.146562199, 19.5002320467, -1.5584415584415587, [696.9, 2248.0], [827.8, 2044.0]
ia: 1.0, -131.907593657, -32.4618324189, -0.22263450834879409, [1482.3, 2044.0], [566.0, 2248.0]
ij: 1.0, -81.1288075807, -78.3875340343, -1.55844155844156, [1482.3, 2044.0], [1351.4, 2248.0]
 k: 1.0, 224.719497948, 46.3931157317, -1.5554708349218456, [1220.0, 2656.0], [1482.3, 2248.0]
us: 1.0, -86.5639313436, -29.1838419901, -0.3116883116883116, [1351.4, 2044.0], [696.9, 2248.0]
s : 1.0, -180.710997688, 117.494139307, 0.7799655897533933, [696.9, 2248.0], [1220.0, 2656.0]
su: 1.0, -50.6594245627, -15.4851999406, -0.3116883116883116, [696.9, 2248.0], [1351.4, 2044.0]
 l: 1.0, 205.096391221, 46.1463206348, -1.0376398779247202, [1220.0, 2656.0], [1613.2, 2248.0]
he: 1.0, 1.68280807234, 0.104545479143, 0.5194805194805194, [1220.5, 2248.0], [827.8, 2044.0]
on: 1.0, -209.336061487, -116.796467357, -6.3129973473405645, [1613.2, 2044.0], [1548.57142857, 2452.0]
nk: 1.0, 95.9020069525, -50.6693706785, 3.0782496228298766, [1548.57142857, 2452.0], [1482.3, 2248.0]
 a: 1.0, 135.575977223, -7.25013171326, 0.6238532110091743, [1220.0, 2656.0], [566.0, 2248.0]
au: 1.0, -66.1607596679, -26.7143333774, -0.2597402597402597, [566.0, 2248.0], [1351.4, 2044.0]
 v: 1.0, 186.25689804, 21.522201131, -39.666666688704225, [1220.0, 2656.0], [1225.14285714, 2452.0]
nl: 1.0, 134.55539991, 71.4375184642, -3.1564986736702823, [1548.57142857, 2452.0], [1613.2, 2248.0]
ua: 1.0, -49.1347154213, -16.4540414946, -0.2597402597402597, [1351.4, 2044.0], [566.0, 2248.0]
 o: 1.0, 275.100611487, 119.78400169, -1.5564598168870802, [1220.0, 2656.0], [1613.2, 2044.0]
os: 1.0, -17.9425470512, -14.1392450427, -0.22263450834879406, [1613.2, 2044.0], [696.9, 2248.0]
 e: 1.0, 208.599119212, -33.8631231211, 1.5604283528811829, [1220.0, 2656.0], [827.8, 2044.0]
oa: 1.0, -14.5224793384, -13.8997415219, -0.1948051948051948, [1613.2, 2044.0], [566.0, 2248.0]
 n: 1.0, 121.908892578, 36.8453489869, -0.6208695652200906, [1220.0, 2656.0], [1548.57142857, 2452.0]
äi: 1.0, -19.7854401568, 10.6119543119, 0.5194805194805194, [1875.0, 2248.0], [1482.3, 2044.0]
uh: 1.0, -97.0922907195, 7.90224431214, -1.5584415584415574, [1351.4, 2044.0], [1220.5, 2248.0]
nt: 1.0, 81.9202540975, -23.5367836217, 0.8889442231103363, [1548.57142857, 2452.0], [1089.6, 2044.0]
ai: 1.0, -81.0054964843, -31.404438901, -0.22263450834879409, [566.0, 2248.0], [1482.3, 2044.0]
av: 1.0, -119.079104706, 55.5193938081, 0.30949284785569786, [566.0, 2248.0], [1225.14285714, 2452.0]
nu: 1.0, -4.52662166917, 5.07975266634, 2.069265323881099, [1548.57142857, 2452.0], [1351.4, 2044.0]
nr: 1.0, -14.202750025, 1.37299932239, 0.6916761521898033, [1548.57142857, 2452.0], [958.7, 2044.0]
im: 1.0, -263.766805741, 118.773102475, 1.7895858136138305, [1482.3, 2044.0], [1710.28571429, 2452.0]
is: 1.0, -128.403347551, -28.4629138294, -0.25974025974025977, [1482.3, 2044.0], [696.9, 2248.0]
äe: 1.0, -15.4318180364, -6.04276670004, 0.1948051948051948, [1875.0, 2248.0], [827.8, 2044.0]
pa: 1.0, 0.614182064092, -0.252900842275, -0.17316017316017318, [1744.1, 2044.0], [566.0, 2248.0]
ku: 1.0, 18.6885289489, -13.8941236375, 1.55844155844156, [1482.3, 2248.0], [1351.4, 2044.0]
pä: 1.0, -167.740534493, 7.58786228658, 1.5584415584415574, [1744.1, 2044.0], [1875.0, 2248.0]
rj: 1.0, -198.857200484, 54.8451019308, 0.5194805194805194, [958.7, 2044.0], [1351.4, 2248.0]
li: 1.0, 29.1779992221, -21.507858593, 1.5584415584415574, [1613.2, 2248.0], [1482.3, 2044.0]
un: 1.0, -276.225775586, 100.467744317, 2.069265323881099, [1351.4, 2044.0], [1548.57142857, 2452.0]
lm: 1.0, -127.65194288, 36.2120973721, 2.1012360210961796, [1613.2, 2248.0], [1710.28571429, 2452.0]
ms: 1.0, 65.1740800021, 0.248279316257, 0.2013053836494299, [1710.28571429, 2452.0], [696.9, 2248.0]
s<: 1.0, -128.549936219, 40.6788794057, 0.17615522083226962, [696.9, 2248.0], [1872.0, 2455.0]
<a: 1.0, 48.7113511277, 14.1817264515, 0.1584992343032159, [1872.0, 2455.0], [566.0, 2248.0]
if: 1.0, -167.175182179, -10.7745003158, -0.3896103896103897, [1482.3, 2044.0], [958.7, 2248.0]
u<: 1.0, -290.457905692, 42.472444879, 0.7894736842105264, [1351.4, 2044.0], [1872.0, 2455.0]
r<: 1.0, -227.983578019, 93.7272287876, 0.45001642395707875, [958.7, 2044.0], [1872.0, 2455.0]
<e: 1.0, 60.9609261071, 15.4584427012, 0.3936027580923195, [1872.0, 2455.0], [827.8, 2044.0]
 d: 1.0, 142.508770093, -5.16532581454, 1.0402855685874552, [1220.0, 2656.0], [827.8, 2248.0]
<s: 1.0, -18.9608930972, -1.72433463902, 0.17615522083226962, [1872.0, 2455.0], [696.9, 2248.0]
d : 1.0, -5.26514798937, 5.30377307346, 1.0402855685874552, [827.8, 2248.0], [1220.0, 2656.0]
 <: 1.0, 115.621172727, 20.2304416005, -0.30828220858895705, [1220.0, 2656.0], [1872.0, 2455.0]
yö: 1.0, -179.390134367, 16.3385403725, 0.3896103896103897, [1220.5, 2044.0], [1744.1, 2248.0]
öt: 1.0, -93.0628201653, -40.985700271, 0.3116883116883117, [1744.1, 2248.0], [1089.6, 2044.0]
ul: 1.0, -165.128975084, 41.7097689081, 0.7792207792207794, [1351.4, 2044.0], [1613.2, 2248.0]
sn: 1.0, -63.7960770164, 33.3942123711, 0.23952899340832232, [696.9, 2248.0], [1548.57142857, 2452.0]
a<: 1.0, -94.2749664981, 40.0663060222, 0.1584992343032159, [566.0, 2248.0], [1872.0, 2455.0]
di: 1.0, -21.9609314946, -9.6302097617, -0.3116883116883117, [827.8, 2248.0], [1482.3, 2044.0]
t<: 1.0, -206.756501367, 32.3376888005, 0.5253067484662576, [1089.6, 2044.0], [1872.0, 2455.0]
<i: 1.0, 87.2060440694, -36.2898512922, 1.054657428791378, [1872.0, 2455.0], [1482.3, 2044.0]
sy: 1.0, -24.6082060366, -18.6912992916, -0.3896103896103896, [696.9, 2248.0], [1220.5, 2044.0]
i<: 1.0, -296.454114582, 41.2777834283, 1.054657428791378, [1482.3, 2044.0], [1872.0, 2455.0]
<t: 1.0, -33.8941360362, 9.75491744575, 0.5253067484662576, [1872.0, 2455.0], [1089.6, 2044.0]
l<: 1.0, -101.659898346, 8.40812114542, 0.7998454404945906, [1613.2, 2248.0], [1872.0, 2455.0]
ät: 1.0, -19.6928377168, -4.16800695945, 0.2597402597402597, [1875.0, 2248.0], [1089.6, 2044.0]
 y: 1.0, 344.451862151, -24.9329535438, -1224.0, [1220.0, 2656.0], [1220.5, 2044.0]
yä: 1.0, -140.53350109, 26.4662567663, 0.3116883116883117, [1220.5, 2044.0], [1875.0, 2248.0]
rk: 1.0, -156.006057496, 33.2735596415, 0.3896103896103897, [958.7, 2044.0], [1482.3, 2248.0]
lu: 1.0, 34.7482120048, -0.331967871116, 0.7792207792207794, [1613.2, 2248.0], [1351.4, 2044.0]
dt: 1.0, 109.468585859, 47.314830299, -0.7792207792207794, [827.8, 2248.0], [1089.6, 2044.0]
vp: 1.0, 19.0397659882, 13.1397464747, -0.7861920885248648, [1225.14285714, 2452.0], [1744.1, 2044.0]
o<: 1.0, -299.202188713, 32.0869142758, 1.5880989180834624, [1613.2, 2044.0], [1872.0, 2455.0]
äy: 1.0, 65.4758937572, 24.2763546236, 0.3116883116883117, [1875.0, 2248.0], [1220.5, 2044.0]
yf: 1.0, 32.6306364133, 21.6125103959, -0.7792207792207794, [1220.5, 2044.0], [958.7, 2248.0]
p<: 1.0, -285.943134303, 27.0375358639, 3.2134480062548842, [1744.1, 2044.0], [1872.0, 2455.0]
e<: 1.0, -243.339530573, 147.7619242, 0.3936027580923195, [827.8, 2044.0], [1872.0, 2455.0]
<r: 1.0, 22.8650964694, -4.66746786064, 0.45001642395707875, [1872.0, 2455.0], [958.7, 2044.0]
ni: 1.0, 105.232003444, -274.185094479, 6.156499245659753, [1548.57142857, 2452.0], [1482.3, 2044.0]
iä: 1.0, -260.32123979, -8.43184891078, 0.5194805194805194, [1482.3, 2044.0], [1875.0, 2248.0]
<ä: 1.0, 78.9822216294, -21.9384305399, -69.0, [1872.0, 2455.0], [1875.0, 2248.0]
j : 1.0, 141.872153446, 655.486608564, -3.1050228310502264, [1351.4, 2248.0], [1220.0, 2656.0]
<u: 1.0, -70.4690574637, 62.4581007624, 0.7894736842105264, [1872.0, 2455.0], [1351.4, 2044.0]
 r: 1.0, 264.406935721, -56.2118371778, 2.342135476463835, [1220.0, 2656.0], [958.7, 2044.0]
ra: 1.0, -107.31739934, 34.9641433249, -0.5194805194805194, [958.7, 2044.0], [566.0, 2248.0]
<h: 1.0, -7.32933690454, 2.34632646347, 0.3177283192632387, [1872.0, 2455.0], [1220.5, 2248.0]
oj: 1.0, 16.6260357834, 14.091674378, -0.7792207792207794, [1613.2, 2044.0], [1351.4, 2248.0]
<j: 1.0, -34.5270655269, 19.0163377415, 0.3976181329235498, [1872.0, 2455.0], [1351.4, 2248.0]
yk: 1.0, -140.591072148, 71.5218791404, 0.7792207792207794, [1220.5, 2044.0], [1482.3, 2248.0]
tl: 1.0, -94.947421129, 56.519980582, 0.3896103896103895, [1089.6, 2044.0], [1613.2, 2248.0]
<k: 1.0, -22.9803400003, 11.5959604851, 0.5311778290993071, [1872.0, 2455.0], [1482.3, 2248.0]
eh: 1.0, -179.272410181, 60.4931038311, 0.5194805194805194, [827.8, 2044.0], [1220.5, 2248.0]
ng: 1.0, 39.3636416275, 0.171074419599, 0.44447211155516814, [1548.57142857, 2452.0], [1089.6, 2248.0]
ge: 1.0, -0.949378668577, 0.225252817563, 0.7792207792207794, [1089.6, 2248.0], [827.8, 2044.0]
ä<: 1.0, -137.491422462, -16.3469607084, -69.0, [1875.0, 2248.0], [1872.0, 2455.0]
my: 1.0, -21.6333414285, 15.9844773937, 0.8330173545209303, [1710.28571429, 2452.0], [1220.5, 2044.0]
no: 1.0, 217.171754847, 82.989851595, -6.3129973473405645, [1548.57142857, 2452.0], [1613.2, 2044.0]
lt: 1.0, 0.949675637199, 0.096793734507, 0.3896103896103895, [1613.2, 2248.0], [1089.6, 2044.0]
ao: 1.0, -23.0868171421, 4.67929633881, -0.1948051948051948, [566.0, 2248.0], [1613.2, 2044.0]
ns: 1.0, 61.8669074701, 15.4572396573, 0.23952899340832232, [1548.57142857, 2452.0], [696.9, 2248.0]
hi: 1.0, 77.3970450007, 63.2292285723, -0.7792207792207794, [1220.5, 2248.0], [1482.3, 2044.0]
kp: 1.0, 133.486163492, 115.899230669, -0.7792207792207794, [1482.3, 2248.0], [1744.1, 2044.0]
pn: 1.0, 18.6739557402, 36.869978132, -2.0866515671652928, [1744.1, 2044.0], [1548.57142857, 2452.0]
y<: 1.0, -210.010711296, 23.3187159227, 0.6308518802762855, [1220.5, 2044.0], [1872.0, 2455.0]
rl: 1.0, -47.7076544864, 12.794102171, 0.3116883116883117, [958.7, 2044.0], [1613.2, 2248.0]
n<: 1.0, -33.2922212674, -3.55311068485, 0.009275618374517337, [1548.57142857, 2452.0], [1872.0, 2455.0]
ji: 1.0, 126.339275571, 73.2349150673, -1.55844155844156, [1351.4, 2248.0], [1482.3, 2044.0]
va: 1.0, 18.8281109179, 0.141819211451, 0.30949284785569786, [1225.14285714, 2452.0], [566.0, 2248.0]
ea: 1.0, -45.4116989759, -25.5695028464, -0.7792207792207794, [827.8, 2044.0], [566.0, 2248.0]
am: 1.0, -145.149518157, 69.8736007275, 0.17827715355738474, [566.0, 2248.0], [1710.28571429, 2452.0]
iö: 1.0, -100.492066903, 31.5070164222, 0.7792207792207794, [1482.3, 2044.0], [1744.1, 2248.0]
<l: 1.0, -21.5849369912, 18.8162776506, 0.7998454404945906, [1872.0, 2455.0], [1613.2, 2248.0]
ib: 1.0, -110.161843082, -187.317394157, -4.274809160433318, [1482.3, 2044.0], [1386.85714286, 2452.0]
ba: 1.0, -0.596138534447, 0.0886058272771, 0.24852071005830656, [1386.85714286, 2452.0], [566.0, 2248.0]
<n: 1.0, -50.2498843471, 5.24652271746, 0.009275618374517337, [1872.0, 2455.0], [1548.57142857, 2452.0]
tö: 1.0, -157.337507095, 106.20859211, 0.3116883116883117, [1089.6, 2044.0], [1744.1, 2248.0]
öi: 1.0, -3.27067996644, 1.13798081676, 0.7792207792207794, [1744.1, 2248.0], [1482.3, 2044.0]
<o: 1.0, -31.5286799973, 48.2820579574, 1.5880989180834624, [1872.0, 2455.0], [1613.2, 2044.0]
m<: 1.0, 42.6159689742, -4.76846200845, 0.018551236749608246, [1710.28571429, 2452.0], [1872.0, 2455.0]
nh: 1.0, 85.6162866957, -15.3264639649, 0.6218158066650197, [1548.57142857, 2452.0], [1220.5, 2248.0]
h<: 1.0, -112.854872705, 31.1507114512, 0.3177283192632387, [1220.5, 2248.0], [1872.0, 2455.0]
<g: 1.0, 52.7830340296, 9.50336095756, 0.26457055214723924, [1872.0, 2455.0], [1089.6, 2248.0]
gr: 1.0, -50.2318070877, 58.5554604623, 1.55844155844156, [1089.6, 2248.0], [958.7, 2044.0]
mu: 1.0, 30.4445623791, -12.1745291385, 1.136852161438538, [1710.28571429, 2452.0], [1351.4, 2044.0]
y : 1.0, -415.056403299, -35.7541569326, -1224.0, [1220.5, 2044.0], [1220.0, 2656.0]
ab: 1.0, -161.637257788, 5.19673426633, 0.24852071005830656, [566.0, 2248.0], [1386.85714286, 2452.0]
b<: 1.0, -121.759893733, -4.03720875559, 0.006183745583075288, [1386.85714286, 2452.0], [1872.0, 2455.0]
<v: 1.0, 30.6521753159, 4.82545954766, 0.004637809187258667, [1872.0, 2455.0], [1225.14285714, 2452.0]
kr: 1.0, -29.8490445328, 22.4799904864, 0.3896103896103897, [1482.3, 2248.0], [958.7, 2044.0]
äb: 1.0, -57.0118468411, -24.1504047903, -0.41791044776364017, [1875.0, 2248.0], [1386.85714286, 2452.0]
< : 1.0, -30.0141180868, -21.3869185731, -0.30828220858895705, [1872.0, 2455.0], [1220.0, 2656.0]
lr: 1.0, -26.3926293264, 4.02773404876, 0.3116883116883117, [1613.2, 2248.0], [958.7, 2044.0]
äu: 1.0, 10.4961670404, 0.63698342441, 0.3896103896103897, [1875.0, 2248.0], [1351.4, 2044.0]
<y: 1.0, -0.72964998774, 0.103242791871, 0.6308518802762855, [1872.0, 2455.0], [1220.5, 2044.0]
yd: 1.0, -232.209356433, 36.7046605412, -0.5194805194805194, [1220.5, 2044.0], [827.8, 2248.0]
t : 1.0, -454.118290291, 200.190479818, 4.693251533742328, [1089.6, 2044.0], [1220.0, 2656.0]
jp: 1.0, 56.5009679982, 46.3044801492, -0.5194805194805198, [1351.4, 2248.0], [1744.1, 2044.0]
mo: 1.0, 38.6387075734, -104.391103901, 4.202472042192359, [1710.28571429, 2452.0], [1613.2, 2044.0]
uö: 1.0, -103.661996816, 74.7955498328, 0.5194805194805198, [1351.4, 2044.0], [1744.1, 2248.0]
k<: 1.0, -161.214477909, 0.155058205735, 0.5311778290993071, [1482.3, 2248.0], [1872.0, 2455.0]
<m: 1.0, 78.8972478202, 56.9002809958, 0.018551236749608246, [1872.0, 2455.0], [1710.28571429, 2452.0]
ap: 1.0, -71.2473616197, 18.308918725, -0.17316017316017318, [566.0, 2248.0], [1744.1, 2044.0]
vs: 1.0, 12.4057426464, -2.35702514655, 0.3861860075202758, [1225.14285714, 2452.0], [696.9, 2248.0]
uk: 1.0, -135.078970291, 69.9377121181, 1.55844155844156, [1351.4, 2044.0], [1482.3, 2248.0]
nd: 1.0, 53.4926612604, 12.1751579517, 0.28303008681231023, [1548.57142857, 2452.0], [827.8, 2248.0]
vu: 1.0, 263.108965978, 300.549380565, -3.2315003393701813, [1225.14285714, 2452.0], [1351.4, 2044.0]
ub: 1.0, -293.247700789, 245.305771875, 11.506849314141277, [1351.4, 2044.0], [1386.85714286, 2452.0]
um: 1.0, -180.510209848, 28.9981077211, 1.136852161438538, [1351.4, 2044.0], [1710.28571429, 2452.0]
je: 1.0, 14.7274041719, 2.26626399309, 0.3896103896103895, [1351.4, 2248.0], [827.8, 2044.0]
öu: 1.0, 10.1083216146, -0.11886390543, 0.5194805194805198, [1744.1, 2248.0], [1351.4, 2044.0]
ih: 1.0, -59.6942188089, -64.0960293092, -0.7792207792207794, [1482.3, 2044.0], [1220.5, 2248.0]
j<: 1.0, -124.227459549, 12.7679879609, 0.3976181329235498, [1351.4, 2248.0], [1872.0, 2455.0]
ö<: 1.0, -193.549918462, -15.2788528114, 1.6184519155590293, [1744.1, 2248.0], [1872.0, 2455.0]
rm: 1.0, -156.421596362, 161.46287936, 0.5428522552287002, [958.7, 2044.0], [1710.28571429, 2452.0]
mt: 1.0, -29.3529786995, 1.68555685244, 0.6573375069002668, [1710.28571429, 2452.0], [1089.6, 2044.0]
mk: 1.0, -8.72032073597, 8.24319587125, 0.8947929068069153, [1710.28571429, 2452.0], [1482.3, 2248.0]
kn: 1.0, -87.8755767263, 41.4712128842, 3.0782496228298766, [1482.3, 2248.0], [1548.57142857, 2452.0]
 c: 1.0, 123.97408732, -20.5986524254, 1.3029197080410844, [1220.0, 2656.0], [1063.42857143, 2452.0]
<p: 1.0, 55.6740556987, -78.4092853997, 3.2134480062548842, [1872.0, 2455.0], [1744.1, 2044.0]
do: 1.0, -63.0720235363, -19.2609297021, -0.2597402597402597, [827.8, 2248.0], [1613.2, 2044.0]
tn: 1.0, -14.8778127863, 3.15108182927, 0.8889442231103363, [1089.6, 2044.0], [1548.57142857, 2452.0]
 i: 1.0, 82.5038525882, 139.958463008, -2.333206252382768, [1220.0, 2656.0], [1482.3, 2044.0]
yl: 1.0, -128.747554122, 78.2611057421, 0.5194805194805194, [1220.5, 2044.0], [1613.2, 2248.0]
ov: 1.0, 18.2681360233, 27.4719350023, -1.0513915476288365, [1613.2, 2044.0], [1225.14285714, 2452.0]
ob: 1.0, 10.4853963755, 15.8796622277, -1.8025751073188916, [1613.2, 2044.0], [1386.85714286, 2452.0]
bg: 1.0, 1.31060951396, -1.20889283711, 0.686274509797325, [1386.85714286, 2452.0], [1089.6, 2248.0]
iv: 1.0, 17.3190704255, 32.7072356558, -1.586578523397738, [1482.3, 2044.0], [1225.14285714, 2452.0]
mr: 1.0, 16.461411589, 0.283870364425, 0.5428522552287002, [1710.28571429, 2452.0], [958.7, 2044.0]
lp: 1.0, 39.0474158967, -1.70471951366, -1.55844155844156, [1613.2, 2248.0], [1744.1, 2044.0]
ek: 1.0, -146.640993071, 61.8795908448, 0.3116883116883117, [827.8, 2044.0], [1482.3, 2248.0]
ln: 1.0, -120.050034595, 221.849247277, -3.1564986736702823, [1613.2, 2248.0], [1548.57142857, 2452.0]
ny: 1.0, -100.406405902, 183.894367176, 1.2436316133300394, [1548.57142857, 2452.0], [1220.5, 2044.0]
aå: 1.0, 9.40502586318, 2.35847668854, -0.15584415584415584, [566.0, 2248.0], [1875.0, 2044.0]
å<: 1.0, -271.94348893, 200.059974813, -137.0, [1875.0, 2044.0], [1872.0, 2455.0]
öo: 1.0, 22.3630634862, -23.2530687632, 1.55844155844156, [1744.1, 2248.0], [1613.2, 2044.0]
r : 1.0, -289.371940632, 306.759003197, 2.342135476463835, [958.7, 2044.0], [1220.0, 2656.0]
pb: 1.0, -1.33098247937, 0.00914053337873, -1.1420802175482236, [1744.1, 2044.0], [1386.85714286, 2452.0]
b : 1.0, 51.118217478, 104.775042558, -1.222602739705092, [1386.85714286, 2452.0], [1220.0, 2656.0]
<ö: 1.0, 4.50706114701, 0.328675081816, 1.6184519155590293, [1872.0, 2455.0], [1744.1, 2248.0]
ly: 1.0, 17.1436385559, -4.43029008275, 0.5194805194805194, [1613.2, 2248.0], [1220.5, 2044.0]
